INDUSTRY,YEAR,SATIS,CONFIRM,IDEAL,OVERALLX,CUSTOMX,WRONGX,OVERALLQ,CUSTOMQ,WRONGQ,PQ,QP,COMP,HANDLE,REPUR,HIGHPTOL,LOWPTOL,AGE,EDUCAT,HISPANIC,RACE_1,RACE_2,RACE_3,RACE_4,RACE_5,INCOME,GENDER,ZIPCODE
3003.0,2015.0,8.0,8.0,7.0,7.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,0.0,,7.0,15.0,,38.0,3.0,0.0,1.0,,,,,6.0,2.0,03842
3003.0,2015.0,9.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,9.0,10.0,1.0,9.0,9.0,15.0,,50.0,5.0,0.0,1.0,,,,,7.0,2.0,53213
3003.0,2015.0,5.0,5.0,,6.0,4.0,5.0,6.0,5.0,7.0,5.0,3.0,0.0,,9.0,5.0,,40.0,4.0,0.0,1.0,,,,,2.0,2.0,98382
3003.0,2015.0,7.0,6.0,3.0,7.0,6.0,8.0,6.0,6.0,10.0,5.0,5.0,0.0,,10.0,0.0,,54.0,4.0,0.0,1.0,,,,,,1.0,60014
3003.0,2015.0,7.0,7.0,7.0,6.0,6.0,3.0,7.0,6.0,7.0,6.0,7.0,0.0,,,,,40.0,4.0,0.0,1.0,,,,,7.0,1.0,11787
3003.0,2015.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,,8.0,1.0,,53.0,5.0,0.0,1.0,,,,,7.0,1.0,22043
3003.0,2015.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,5.0,6.0,0.0,,6.0,26.0,,38.0,4.0,1.0,1.0,,,,,6.0,2.0,11103
3003.0,2015.0,7.0,4.0,7.0,8.0,8.0,5.0,7.0,7.0,6.0,7.0,7.0,1.0,2.0,3.0,,25.0,38.0,2.0,0.0,2.0,,,,,7.0,1.0,14150
3003.0,2015.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,5.0,7.0,7.0,7.0,0.0,,6.0,26.0,,43.0,3.0,1.0,1.0,,,,,4.0,2.0,90280
3003.0,2015.0,5.0,3.0,3.0,8.0,9.0,1.0,7.0,6.0,4.0,3.0,4.0,1.0,2.0,2.0,,26.0,29.0,5.0,0.0,1.0,,,,,1.0,1.0,47803
3003.0,2015.0,8.0,7.0,5.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,1.0,1.0,6.0,26.0,,65.0,4.0,0.0,1.0,,,,,5.0,1.0,77532
3003.0,2015.0,6.0,5.0,4.0,6.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,,6.0,5.0,,22.0,4.0,0.0,1.0,,,,,5.0,2.0,
3003.0,2015.0,6.0,6.0,5.0,6.0,8.0,8.0,6.0,9.0,8.0,4.0,5.0,0.0,,5.0,,20.0,23.0,5.0,0.0,1.0,,,,,6.0,2.0,95821
3003.0,2015.0,7.0,6.0,8.0,8.0,9.0,7.0,6.0,5.0,8.0,7.0,5.0,0.0,,6.0,12.0,,30.0,5.0,1.0,1.0,,,,,6.0,2.0,90046
3003.0,2015.0,6.0,5.0,4.0,7.0,7.0,6.0,8.0,6.0,5.0,5.0,6.0,1.0,6.0,7.0,10.0,,24.0,4.0,0.0,1.0,,,,,4.0,2.0,90026
3003.0,2015.0,9.0,,7.0,8.0,9.0,10.0,8.0,9.0,10.0,6.0,8.0,0.0,,9.0,20.0,,22.0,3.0,0.0,6.0,,,,,6.0,1.0,48504
3003.0,2015.0,10.0,10.0,9.0,8.0,9.0,6.0,10.0,10.0,10.0,8.0,9.0,0.0,,9.0,26.0,,24.0,4.0,0.0,1.0,,,,,4.0,2.0,05753
3003.0,2015.0,7.0,5.0,7.0,7.0,5.0,3.0,7.0,6.0,5.0,7.0,7.0,1.0,8.0,7.0,,,39.0,4.0,0.0,1.0,,,,,4.0,2.0,34293
3003.0,2015.0,6.0,6.0,3.0,7.0,6.0,3.0,7.0,5.0,2.0,7.0,8.0,0.0,,4.0,,20.0,59.0,3.0,0.0,1.0,,,,,6.0,1.0,48310
3003.0,2015.0,4.0,5.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,0.0,,5.0,,26.0,31.0,5.0,0.0,1.0,,,,,6.0,1.0,63144
3003.0,2015.0,7.0,8.0,8.0,10.0,7.0,4.0,8.0,6.0,8.0,8.0,7.0,0.0,,8.0,26.0,,34.0,4.0,0.0,4.0,,,,,6.0,2.0,75093
